"GrantNo","pdd","year"
"B-12-DT-01-0001","DR-1971-AL","2011"
"B-12-MT-01-0001","DR-1971-AL","2011"
"B-12-MT-01-0002","DR-1971-AL","2011"
"B-12-UT-01-0001","DR-1971-AL","2011"
"B-13-DS-01-0001","DR-1971-AL","2011"
"B-13-MS-01-0001","DR-1971-AL","2011"
"B-13-MS-01-0002","DR-1971-AL","2011"
"B-13-US-01-0001","DR-1971-AL","2011"
"B-08-DF-05-0001","DR-1758-AR","2008"
"B-08-DI-05-0001","DR-1758-AR","2008"
"B-08-DI-06-0001","DR-1810-CA","2008"
"B-13-DS-06-0001","9999","2013"
"B-05-DJ-06-0001","DR-1498-CA DR-1529-CA DR-1505-CA","2003 2004 2003"
"B-13-DS-08-0001","DR-4067-CO DR-4145-CO DR-4133-CO DR-4145-CO","2012 2013 2013 2013"
"B-08-DF-08-0001","DR-1762-CO","2008"
"B-13-DS-09-0001","DR-4087-CT","2012"
"B-13-DS-09-0002","9999","2013"
"B-06-DG-12-0001","DR-1609-FL DR-1602-FL DR-1595-FL","2005 2005 2005"
"B-06-DG-12-0002","DR-1609-FL DR-1602-FL DR-1595-FL","2005 2005 2005"
"B-08-DI-12-0001","DR-1806-FL DR-1785-FL","2008 2008"
"B-16-DL-12-0001","9999","2016"
"B-08-DI-13-0001","DR-1761-FL DR-1750-FL","2008 2008"
"B-08-DF-17-0001","DR-1729-IL DR-1722-IL DR-1800-IL DR-1771-IL DR-1747-IL","2007 2007 2008 2008 2008"
"B-08-DI-17-0001","DR-1800-IL DR-1771-IL DR-1747-IL","2008 2008 2008"
"B-13-DS-17-0001","DR-4157-IL DR-4116-IL","2013 2013"
"B-13-MS-17-0001","DR-4116-IL","2013"
"B-13-US-17-0002","DR-4116-IL","2013"
"B-08-DF-18-0001","9999","2008"
"B-08-DI-18-0001","DR-1795-IN DR-1766-IN DR-1740-IN","2008 2008 2008"
"B-08-DF-19-0001","9999","2008"
"B-08-DI-19-0001","DR-1739-IA","2008"
"B-13-DS-19-0001","9999","2013"
"B-08-DI-21-0001","DR-1802-KY DR-1757-KY DR-1746-KY","2008 2008 2008"
"B-10-DF-21-0001","DR-1912-KY","2010"
"B-06-DG-22-0001","9999","2006"
"B-06-DG-22-0002","DR-1607-LA DR-1603-LA","2005 2005"
"B-08-DG-22-0003","DR-1607-LA DR-1603-LA","2005 2005"
"B-08-DI-22-0001","DR-1792-LA DR-1786-LA","2008 2008"
"B-13-DS-22-0001","DR-4080-LA","2012"
"B-13-DS-22-0002","9999","2013"
"B-13-MS-22-0001","DR-4080-LA","2012"
"B-13-MS-22-0002","9999","2013"
"B-13-US-22-0001","DR-4080-LA","2012"
"B-13-US-22-0002","DR-4080-LA","2012"
"B-16-DL-22-0001","DR-4277-LA DR-4263-LA","2016 2016"
"B-08-DF-23-0001","DR-1852-ME","2009"
"B-05-DJ-24-0001","DR-1492-MD","2003"
"B-13-DS-25-0001","DR-4028-MA DR-1994-MA DR-1959-MA DR-4097-MA DR-4051-MA","2011 2011 2011 2012 2012"
"B-13-MS-25-0001","DR-4028-MA DR-1994-MA DR-1959-MA","2011 2011 2011"
"B-13-MS-25-0002","9999","2013"
"B-08-DF-27-0001","DR-1772-MN","2008"
"B-06-DG-28-0001","DR-1604-MS","2005"
"B-06-DG-28-0002","DR-1604-MS","2005"
"B-08-DF-28-0001","9999","2008"
"B-08-DI-28-0001","DR-1794-MS DR-1764-MS DR-1753-MS","2008 2008 2008"
"B-08-DF-29-0001","DR-1749-MO DR-1773-MO","2008 2008"
"B-08-DI-29-0001","DR-1809-MO DR-1773-MO DR-1760-MO DR-1749-MO DR-1748-MO DR-1742-MO","2008 2008 2008 2008 2008 2008"
"B-12-DT-29-0001","DR-4012-MO DR-1980-MO","2011 2011"
"B-12-MT-29-0001","DR-1980-MO","2011"
"B-13-MS-29-0001","DR-1980-MO","2011"
"B-08-DF-30-0001","9999","2008"
"B-08-DF-31-0001","DR-1770-NE","2008"
"B-13-DS-34-0002","9999","2013"
"B-01-DW-36-0001","DR-1391-NY","2001"
"B-02-DW-36-0001","DR-1391-NY","2001"
"B-02-DW-36-0002","DR-1391-NY","2001"
"B-12-DT-36-0001","DR-4031-NY DR-4020-NY","2011 2011"
"B-12-MT-36-0001","DR-4031-NY DR-4020-NY","2011 2011"
"B-12-UT-36-0001","DR-4031-NY DR-4020-NY","2011 2011"
"B-13-DS-36-0001","9999","2013"
"B-13-DS-36-0002","9999","2013"
"B-13-MS-36-0001","DR-4085-NY","2012"
"B-13-MS-36-0002","DR-4085-NY","2012"
"B-16-DL-37-0001","DR-4285-NC","2016"
"B-05-DJ-37-0001","DR-1490-NC DR-1553-NC DR-1546-NC","2003 2004 2004"
"B-12-DT-38-0001","DR-1981-ND","2011"
"B-12-MT-38-0001","DR-1981-ND DR-1986-ND","2011 2011"
"B-13-DS-38-0001","DR-1981-ND","2011"
"B-13-MS-38-0001","DR-1981-ND","2011"
"B-13-MS-38-0002","9999","2013"
"B-13-DS-40-0001","DR-4078-OK DR-4064-OK DR-4117-OK DR-4109-OK","2012 2012 2013 2013"
"B-13-MS-40-0001","DR-4117-OK","2013"
"B-08-DF-40-0001","DR-1756-OK","2008"
"B-12-DT-42-0001","DR-4030-PA DR-4025-PA DR-4003-PA","2011 2011 2011"
"B-12-UT-42-0002","DR-4030-PA","2011"
"B-13-DS-42-0001","DR-4030-PA DR-4025-PA DR-4003-PA","2011 2011 2011"
"B-13-US-42-0001","DR-4030-PA DR-4025-PA DR-4003-PA","2011 2011 2011"
"B-13-US-42-0002","DR-4030-PA","2011"
"B-05-DJ-42-0001","DR-1497-PA DR-1555-PA DR-1557-PA DR-1538-PA","2003 2004 2004 2004"
"B-08-DI-72-0001","DR-1798-PR","2008"
"B-05-DJ-72-0001","DR-1501-PR","2003"
"B-08-DI-47-0001","DR-1745-TN","2008"
"B-10-DF-44-0001","DR-1894-RI","2010"
"B-10-MF-44-0001","9999","2010"
"B-10-MF-44-0002","9999","2010"
"B-13-DS-44-0001","DR-4089-RI","2012"
"B-16-DH-45-0001","DR-4241-SC","2015"
"B-16-DL-45-0001","DR-4286-SC","2016"
"B-16-MH-45-0001","DR-4241-SC","2015"
"B-16-UH-45-0002","DR-4241-SC","2015"
"B-08-DF-46-0001","DR-1759-SD","2008"
"B-10-DF-47-0001","9999","2010"
"B-10-MF-47-0001","DR-1909-TN","2010"
"B-10-MF-47-0002","DR-1909-TN","2010"
"B-10-UF-47-0001","DR-1909-TN","2010"
"B-13-DS-47-0001","DR-4005-TN DR-1978-TN DR-1979-TN DR-1974-TN DR-1965-TN DR-4060-TN","2011 2011 2011 2011 2011 2012"
"B-13-DS-47-0002","9999","2013"
"B-13-US-47-0001","DR-1978-TN DR-1979-TN DR-1974-TN","2011 2011 2011"
"B-13-US-47-0002","9999","2013"
"B-06-DG-48-0001","DR-1606-TX","2005"
"B-06-DG-48-0002","DR-1606-TX","2005"
"B-08-DI-48-0001","DR-1791-TX DR-1780-TX","2008 2008"
"B-12-DT-48-0001","DR-4029-TX","2011"
"B-13-DS-48-0001","DR-4029-TX","2011"
"B-16-DH-48-0001","DR-4223-TX DR-4245-TX","2015 2015"
"B-16-MH-48-0001","DR-4223-TX DR-4245-TX","2015 2015"
"B-16-MH-48-0002","DR-4223-TX DR-4245-TX","2015 2015"
"B-17-DM-48-0001","DR-4332-TX","2017"
"B-12-DT-50-0001","DR-4022-VT DR-4001-VT DR-1995-VT","2011 2011 2011"
"B-13-DS-50-0001","DR-4043-VT DR-4001-VT DR-4022-VT DR-1995-VT DR-4066-VT","2011 2011 2011 2011 2012"
"B-16-DL-54-0001","DR-4273-WV","2016"
"B-08-DF-54-0001","DR-1769-WV","2008"
"B-08-DI-55-0001","DR-1768-WI","2008"
"B-13-DS-24-0001","DR-4091-MD","2012"
"B-16-UH-45-0001","DR-4241-SC","2015"
"B-16-DL-48-0001","DR-4245-TX DR-4223-TX DR-4272-TX DR-4269-TX DR-4266-TX DR-4255-TX","2015 2015 2016 2016 2016 2016"
